1077694833.1085222, 230.92394620073281
1245581358.7412133, 231.04620355204784
1448332396.3854318, 239.58864490559353
1735655861.3003929, 239.74721124214298
2236130488.582374, 257.7577492672778
2663622479.1641517, 273.10786456654637
3289783170.438708, 297.8081021728121
4137341935.214757, 327.0944195626914
5234743442.172124, 364.4437599518993
6826036668.492038, 391.8391636704239
8954919335.104828, 424.3266717442187
11126949758.818651, 476.1398945396733
14335394564.89781, 511.90896827137664
18357913909.820934, 574.4799388191213
21867486003.359055, 617.4595658931016
27008064392.154015, 678.1353997114629
35645635956.53794, 788.8135901283163
41698684898.31085, 853.856515686338
49970964560.96325, 944.3880665486182
60246656842.54196, 1000.6728615949281
82445116162.56964, 1131.3193012325762
106860771137.91457, 1297.188983264902
122765053481.8292, 1384.1203400865302
149806158992.3888, 1530.9752782012717
31404335291.55561, 728.8056998909913
